plotName,treatmentName,mean ndvi,max crop height m nir-based
1114,NAM-15,0.8257452845573425,1.0549315448393486
1313,NAM-15,0.8420524001121521,0.7394546952453993
1203,NAM-15,0.8248202800750732,0.6662279242049749
1203,NAM-15,0.8248202800750732,0.6662279242049749
1313,NAM-15,0.8420524001121521,0.7394546952453993
1313,NAM-15,0.8420524001121521,0.7394546952453993
1114,NAM-15,0.8257452845573425,1.0549315448393486
1203,NAM-15,0.8248202800750732,0.6662279242049749
1203,NAM-15,0.8248202800750732,0.6662279242049749
1114,NAM-15,0.8257452845573425,1.0549315448393486
1203,NAM-15,0.8248202800750732,0.6662279242049749
1114,NAM-15,0.8257452845573425,1.0549315448393486
1313,NAM-15,0.8420524001121521,0.7394546952453993
1313,NAM-15,0.8420524001121521,0.7394546952453993
1233,NAM-30,0.8418658375740051,0.761947518412228
S1233,NAM-30,0.8399863839149475,
1233,NAM-30,0.8418658375740051,0.761947518412228
S1138,NAM-30,0.8174127340316772,0.5661727981194531
1233,NAM-30,0.8418658375740051,0.761947518412228
1325,NAM-30,0.8160473108291626,0.30380382376722537
1325,NAM-30,0.8160473108291626,0.30380382376722537
S1325,NAM-30,0.8112584352493286,0.2449055993279785
1138,NAM-30,0.8062924742698669,0.44981264935870513
S1233,NAM-30,0.8399863839149475,
S1138,NAM-30,0.8174127340316772,0.5661727981194531
1138,NAM-30,0.8062924742698669,0.44981264935870513
S1325,NAM-30,0.8112584352493286,0.2449055993279785
1233,NAM-30,0.8418658375740051,0.761947518412228
1325,NAM-30,0.8160473108291626,0.30380382376722537
S1233,NAM-30,0.8399863839149475,
S1325,NAM-30,0.8112584352493286,0.2449055993279785
S1325,NAM-30,0.8112584352493286,0.2449055993279785
1325,NAM-30,0.8160473108291626,0.30380382376722537
S1233,NAM-30,0.8399863839149475,
1325,NAM-30,0.8160473108291626,0.30380382376722537
1138,NAM-30,0.8062924742698669,0.44981264935870513
S1325,NAM-30,0.8112584352493286,0.2449055993279785
S1138,NAM-30,0.8174127340316772,0.5661727981194531
1138,NAM-30,0.8062924742698669,0.44981264935870513
S1138,NAM-30,0.8174127340316772,0.5661727981194531
1233,NAM-30,0.8418658375740051,0.761947518412228
1138,NAM-30,0.8062924742698669,0.44981264935870513
S1233,NAM-30,0.8399863839149475,
S1138,NAM-30,0.8174127340316772,0.5661727981194531
S1242,NAM-17,0.8341284990310669,0.23884551782526842
1111,NAM-17,0.8189385533332825,
S1242,NAM-17,0.8341284990310669,0.23884551782526842
1111,NAM-17,0.8189385533332825,
S1330,NAM-17,0.8341993093490601,0.6367098906281967
S1111,NAM-17,0.8171401619911194,0.8450817600165124
S1330,NAM-17,0.8341993093490601,0.6367098906281967
1111,NAM-17,0.8189385533332825,
1330,NAM-17,0.8016301393508911,
S1111,NAM-17,0.8171401619911194,0.8450817600165124
1330,NAM-17,0.8016301393508911,
S1111,NAM-17,0.8171401619911194,0.8450817600165124
S1242,NAM-17,0.8341284990310669,0.23884551782526842
1242,NAM-17,0.8393580913543701,0.29398933114907777
1242,NAM-17,0.8393580913543701,0.29398933114907777
S1111,NAM-17,0.8171401619911194,0.8450817600165124
1111,NAM-17,0.8189385533332825,
S1330,NAM-17,0.8341993093490601,0.6367098906281967
1242,NAM-17,0.8393580913543701,0.29398933114907777
1330,NAM-17,0.8016301393508911,
S1330,NAM-17,0.8341993093490601,0.6367098906281967
1330,NAM-17,0.8016301393508911,
1242,NAM-17,0.8393580913543701,0.29398933114907777
S1242,NAM-17,0.8341284990310669,0.23884551782526842
1330,NAM-17,0.8016301393508911,
1111,NAM-17,0.8189385533332825,
S1111,NAM-17,0.8171401619911194,0.8450817600165124
S1242,NAM-17,0.8341284990310669,0.23884551782526842
1242,NAM-17,0.8393580913543701,0.29398933114907777
S1330,NAM-17,0.8341993093490601,0.6367098906281967
1309,NAM-39,0.8364317417144775,1.60198479920939
1309,NAM-39,0.8364317417144775,1.60198479920939
1208,NAM-39,0.800631046295166,0.6109517657303627
1309,NAM-39,0.8364317417144775,1.60198479920939
1208,NAM-39,0.800631046295166,0.6109517657303627
1148,NAM-39,0.8221485018730164,0.6997058934456959
1208,NAM-39,0.800631046295166,0.6109517657303627
1309,NAM-39,0.8364317417144775,1.60198479920939
1148,NAM-39,0.8221485018730164,0.6997058934456959
1208,NAM-39,0.800631046295166,0.6109517657303627
1148,NAM-39,0.8221485018730164,0.6997058934456959
1148,NAM-39,0.8221485018730164,0.6997058934456959
1208,NAM-39,0.800631046295166,0.6109517657303627
1309,NAM-39,0.8364317417144775,1.60198479920939
1148,NAM-39,0.8221485018730164,0.6997058934456959
S1206,NAM-46,0.8331279754638672,0.4021798302857178
S1101,NAM-46,0.8241876363754272,0.6084865638237034
1101,NAM-46,0.8260074853897095,
1206,NAM-46,0.8255478739738464,0.39929070227077545
S1206,NAM-46,0.8331279754638672,0.4021798302857178
1306,NAM-46,0.8466575741767883,0.8103489916601347
1206,NAM-46,0.8255478739738464,0.39929070227077545
S1206,NAM-46,0.8331279754638672,0.4021798302857178
S1306,NAM-46,0.8421170115470886,0.7590994422715198
S1306,NAM-46,0.8421170115470886,0.7590994422715198
S1306,NAM-46,0.8421170115470886,0.7590994422715198
1306,NAM-46,0.8466575741767883,0.8103489916601347
1101,NAM-46,0.8260074853897095,
1101,NAM-46,0.8260074853897095,
1206,NAM-46,0.8255478739738464,0.39929070227077545
S1101,NAM-46,0.8241876363754272,0.6084865638237034
S1101,NAM-46,0.8241876363754272,0.6084865638237034
1306,NAM-46,0.8466575741767883,0.8103489916601347
S1101,NAM-46,0.8241876363754272,0.6084865638237034
1101,NAM-46,0.8260074853897095,
S1206,NAM-46,0.8331279754638672,0.4021798302857178
S1206,NAM-46,0.8331279754638672,0.4021798302857178
S1306,NAM-46,0.8421170115470886,0.7590994422715198
