plotName,treatmentName,x,y
G4,N/A,1.825295138,1.116966389
1108S,NAM-48,2.292752123,1.160810124
1210S,NAM-48,0.846809767,0.636933697
1108N,NAM-71+,2.494214879,1.765463174
1307N,NAM-48,1.260818746,1.579472875
1307N,NAM-48,1.260818746,1.579472875
1108S,NAM-48,2.292752123,1.160810124
1307N,NAM-48,1.260818746,1.579472875
1307S,NAM-48,1.878883913,1.549667425
1210S,NAM-48,0.846809767,0.636933697
1307N,NAM-48,1.260818746,1.579472875
1210N,NAM-48,0.701838137,0.403485587
1210N,NAM-48,0.701838137,0.403485587
1210S,NAM-48,0.846809767,0.636933697
1307S,NAM-48,1.878883913,1.549667425
1210N,NAM-48,0.701838137,0.403485587
1210S,NAM-48,0.846809767,0.636933697
1307N,NAM-48,1.260818746,1.579472875
1210N,NAM-48,0.701838137,0.403485587
1210S,NAM-48,0.846809767,0.636933697
1108S,NAM-48,2.292752123,1.160810124
1210N,NAM-48,0.701838137,0.403485587
1307S,NAM-48,1.878883913,1.549667425
1108S,NAM-48,2.292752123,1.160810124
1307S,NAM-48,1.878883913,1.549667425
1108S,NAM-48,2.292752123,1.160810124
1307S,NAM-48,1.878883913,1.549667425
1108S,NAM-48,2.292752123,1.160810124
1110N,NAM-23,2.226647447,1.756660121
1110S,NAM-23,2.467517624,1.146909437
1214S,NAM-23,1.531470441,1.146091217
1110S,NAM-23,2.467517624,1.146909437
1110N,NAM-23,2.226647447,1.756660121
1110N,NAM-23,2.226647447,1.756660121
1214N,NAM-23,1.754482841,0.850459908
1110S,NAM-23,2.467517624,1.146909437
1214N,NAM-23,1.754482841,0.850459908
1110N,NAM-23,2.226647447,1.756660121
1214N,NAM-23,1.754482841,0.850459908
1302S,NAM-23,0.756708026,1.185052902
1302S,NAM-23,0.756708026,1.185052902
1302N,NAM-23,1.477152286,1.396624527
1110S,NAM-23,2.467517624,1.146909437
1214N,NAM-23,1.754482841,0.850459908
1214S,NAM-23,1.531470441,1.146091217
1214N,NAM-23,1.754482841,0.850459908
1214S,NAM-23,1.531470441,1.146091217
1302N,NAM-23,1.477152286,1.396624527
1110S,NAM-23,2.467517624,1.146909437
1302S,NAM-23,0.756708026,1.185052902
1302N,NAM-23,1.477152286,1.396624527
1110N,NAM-23,2.226647447,1.756660121
1110N,NAM-23,2.226647447,1.756660121
1214S,NAM-23,1.531470441,1.146091217
1302N,NAM-23,1.477152286,1.396624527
1302N,NAM-23,1.477152286,1.396624527
1302S,NAM-23,0.756708026,1.185052902
1110S,NAM-23,2.467517624,1.146909437
1214S,NAM-23,1.531470441,1.146091217
1302S,NAM-23,0.756708026,1.185052902
1112N,NAM-17,1.852737683,1.114094266
1204N,NAM-17,2.347027911,1.291478285
1204S,NAM-17,1.516094654,1.080978989
1316N,NAM-17,1.748952793,1.189321027
1112N,NAM-17,1.852737683,1.114094266
1112S,NAM-17,2.381856898,1.164226407
1112S,NAM-17,2.381856898,1.164226407
1204S,NAM-17,1.516094654,1.080978989
1112S,NAM-17,2.381856898,1.164226407
1316S,NAM-17,1.138835217,1.006878225
1204N,NAM-17,2.347027911,1.291478285
1204N,NAM-17,2.347027911,1.291478285
1204S,NAM-17,1.516094654,1.080978989
1316N,NAM-17,1.748952793,1.189321027
1316S,NAM-17,1.138835217,1.006878225
1316N,NAM-17,1.748952793,1.189321027
1204S,NAM-17,1.516094654,1.080978989
1316N,NAM-17,1.748952793,1.189321027
1316S,NAM-17,1.138835217,1.006878225
1316S,NAM-17,1.138835217,1.006878225
1112N,NAM-17,1.852737683,1.114094266
1204N,NAM-17,2.347027911,1.291478285
1112N,NAM-17,1.852737683,1.114094266
1112S,NAM-17,2.381856898,1.164226407
1204N,NAM-17,2.347027911,1.291478285
1204S,NAM-17,1.516094654,1.080978989
1112N,NAM-17,1.852737683,1.114094266
1112S,NAM-17,2.381856898,1.164226407
1316S,NAM-17,1.138835217,1.006878225
1316N,NAM-17,1.748952793,1.189321027
1112S,NAM-17,2.381856898,1.164226407
1112N,NAM-17,1.852737683,1.114094266
1303S,NAM-14,2.634552199,1.242357379
1208S,NAM-14,1.585062545,1.32042355
1106N,NAM-14,1.384773834,0.260807611
1113S,NAM-14,0.667403708,0.81700963
1208N,NAM-14,,
1303N,NAM-14,3.01069731,1.264197043
1303S,NAM-14,2.634552199,1.242357379
1303N,NAM-14,3.01069731,1.264197043
1208N,NAM-14,,
1106N,NAM-14,1.384773834,0.260807611
1303N,NAM-14,3.01069731,1.264197043
1106N,NAM-14,1.384773834,0.260807611
1113S,NAM-14,0.667403708,0.81700963
1208N,NAM-14,,
1106N,NAM-14,1.384773834,0.260807611
1208N,NAM-14,,
1113S,NAM-14,0.667403708,0.81700963
1303S,NAM-14,2.634552199,1.242357379
1303N,NAM-14,3.01069731,1.264197043
1208N,NAM-14,,
1303N,NAM-14,3.01069731,1.264197043
1303S,NAM-14,2.634552199,1.242357379
1208S,NAM-14,1.585062545,1.32042355
1106N,NAM-14,1.384773834,0.260807611
1208S,NAM-14,1.585062545,1.32042355
1113S,NAM-14,0.667403708,0.81700963
1106N,NAM-14,1.384773834,0.260807611
1113S,NAM-14,0.667403708,0.81700963
1208S,NAM-14,1.585062545,1.32042355
1113S,NAM-14,0.667403708,0.81700963
1208S,NAM-14,1.585062545,1.32042355
1303S,NAM-14,2.634552199,1.242357379
